time,power_norm
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,367774.728423
8,988899.512223
9,1486732.19122
10,1500400.11491
11,3350838.28505
12,3376654.94751
13,3284821.22915
14,3044576.45055
15,2536996.07311
16,871794.93575
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,414543.685905
32,2112187.08165
33,2891332.95642
34,3216013.52687
35,3347276.72191
36,3360122.16406
37,3245052.06159
38,2971399.6703
39,2416853.78684
40,781250.959837
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,289552.24983
56,928905.683922
57,318403.689098
58,565845.202555
59,677162.393228
60,908120.638358
61,927341.556691
62,455444.271121
63,126996.544602
64,765317.643678
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,379920.414723
80,2151179.61416
81,2852269.52925
82,3180242.84988
83,3321192.60515
84,3322713.85529
85,3221924.66551
86,2989076.37867
87,2443275.4429
88,815742.623218
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,336893.571263
104,257879.335766
105,399497.295021
106,712551.749095
107,592427.257891
108,145071.412182
109,696563.949727
110,526250.346863
111,353928.044844
112,681819.343299
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,112511.314867
128,1382955.8807
129,549509.100799
130,1244770.33652
131,1164123.97731
132,3211957.09231
133,2848490.06381
134,2926988.72082
135,2409471.12071
136,1153632.84456
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,522121.455301
152,2320652.6091
153,2954399.0931
154,3275493.73162
155,3414812.35265
156,3429748.22653
157,3332365.33272
158,3105654.57418
159,2580710.76546
160,952766.606185
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,22308.5387266
176,712994.557803
177,1702470.13218
178,1817928.89511
179,2727995.30806
180,2814135.43968
181,2928983.52191
182,2999595.87008
183,2535043.06264
184,1305087.35042
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,442218.465598
200,2125617.83573
201,1436932.37292
202,1741971.23608
203,1955567.3262
204,2655893.1948
205,1990216.73212
206,2240740.99461
207,1472182.47635
208,738087.523079
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,20158.1816828
224,257384.03501
225,490913.422209
226,528881.237028
227,591461.391773
228,507795.921411
229,360435.536374
230,276798.561083
231,442202.259161
232,195217.056255
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,19709.7187645
248,165729.837746
249,830273.383721
250,788956.477164
251,1141292.76862
252,292202.129846
253,2385338.42555
254,2635790.79397
255,1915151.29476
256,871592.364781
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,31339.8571133
272,1093735.91118
273,1013611.9248
274,2003810.10519
275,2226600.65336
276,929998.946852
277,878994.408455
278,349360.611096
279,370110.676535
280,85453.0236141
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,22443.0776021
296,291719.987678
297,444191.918065
298,915601.527806
299,465356.833565
300,889261.987105
301,188987.709701
302,463286.989132
303,2257740.83257
304,878904.263033
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,528336.251194
320,2383639.16591
321,3105023.48007
322,2580876.33791
323,1853051.86976
324,1029294.09234
325,453847.191314
326,1235562.18688
327,2747917.66424
328,1640753.32845
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,35793.6827831
344,1290050.1041
345,2915614.47758
346,1824982.80962
347,2418358.18173
348,1184752.0988
349,917984.571562
350,1412529.65075
351,1041033.3484
352,554245.86793
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,468348.387058
368,2278265.68247
369,3044077.22811
370,3355058.30661
371,3491113.55294
372,3509568.18374
373,3392199.16704
374,3137226.51043
375,2672148.74004
376,1565667.79931
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,627871.125807
392,2460365.39733
393,3076670.42477
394,3379210.30663
395,3515563.98218
396,3540427.36244
397,3462058.05264
398,3273646.32777
399,2895540.15471
400,1920913.38645
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,512691.756534
416,2210794.27928
417,2956081.58333
418,3243548.23488
419,3366976.16421
420,3272525.01338
421,3305353.16593
422,3110776.925
423,2755682.09233
424,1753614.46203
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,398677.48804
440,1961120.55051
441,2812578.47114
442,3103344.42057
443,3223547.98623
444,3240941.06745
445,3165174.67262
446,786102.127403
447,2026447.05988
448,1596322.75387
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,513273.923986
464,1702901.35885
465,2494828.57563
466,3291531.5215
467,2077090.06404
468,1797116.00341
469,1245380.17058
470,1010893.9032
471,686898.025909
472,294209.722846
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
