Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,890408,-,-,-,40.13,-88.22,-6,223,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,1,15,30,44,648,-11,0.866,2.2,53.65,-3,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,1,16,0,29,481,-10,0.866,1.7,66.21,-5,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,1,16,30,0,0,-10,0.866,1.7,66.25,-5,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,1,17,0,0,0,-10,0.866,1.7,68.73,-6,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,1,17,30,0,0,-10,0.866,1.7,68.76,-6,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,1,18,0,0,0,-11,0.866,1.8,70.78,-7,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,1,18,30,0,0,-11,0.866,1.8,70.79,-7,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,1,19,0,0,0,-11,0.866,1.9,73.61,-8,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,1,19,30,0,0,-11,0.866,1.9,73.61,-8,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,1,20,0,0,0,-12,0.866,1.9,71.72,-8,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,1,20,30,0,0,-12,0.866,1.9,71.72,-8,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,1,21,0,0,0,-12,0.866,1.9,74.79,-9,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,1,21,30,0,0,-12,0.866,1.9,74.78,-9,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,1,22,0,0,0,-13,0.866,2,78.04,-10,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,1,22,30,0,0,-13,0.866,1.9,78.03,-10,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,1,23,0,0,0,-13,0.866,1.9,81.5,-11,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,1,23,30,0,0,-13,0.866,1.8,81.5,-11,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,0,0,0,0,-13,0.866,1.8,79.13,-11,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,0,30,0,0,-13,0.866,1.7,79.14,-11,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,1,0,0,0,-14,0.866,1.6,77.49,-11,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,1,30,0,0,-14,0.866,1.5,77.49,-11,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,2,0,0,0,-14,0.866,1.4,82.33,-12,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,2,30,0,0,-14,0.866,1.3,82.32,-12,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,3,0,0,0,-14,0.866,1.3,81.26,-12,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,3,30,0,0,-14,0.866,1.1,81.26,-12,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,4,0,0,0,-14,0.866,1,81.03,-12,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,4,30,0,0,-14,0.866,0.9,81.04,-12,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,5,0,0,0,-14,0.866,0.8,80.77,-12,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,5,30,0,0,-14,0.866,0.7,80.78,-12,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,6,0,0,0,-14,0.866,0.6,81.14,-12,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,6,30,0,0,-14,0.866,0.7,81.16,-12,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,7,0,0,0,-14,0.866,0.9,80.79,-12,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
